"","theme","base_word","pwa","bootstrap_se","bootstrap_me","lb","ub","significant"
"1","violence","african_american",0.0173900604444445,0.0102828502978103,0.0201540162421252,-0.00276395579768065,0.0375440766865697,0
"2","violence","caucasian",-0.0247933024779446,0.00992596645443471,0.0194545367624448,-0.0442478392403894,-0.00533876571549984,1
"3","violence","hispanic",0.000383468868506224,0.0165408601486994,0.0324194901647647,-0.0320360212962584,0.0328029590332709,0
"4","passivity","african_american",0.00632832042552465,0.0117498720751661,0.0230293260902785,-0.0167010056647538,0.0293576465158031,0
"5","passivity","caucasian",-0.0261916004282689,0.00890318464118482,0.0174499212444324,-0.0436415216727013,-0.00874167918383649,1
"6","passivity","hispanic",-0.00563320218654632,0.0150267644228375,0.0294519170729293,-0.0350851192594756,0.023818714886383,0
"7","nonadherence","african_american",-0.00271592742123284,0.025555453598074,0.0500877686608096,-0.0528036960820424,0.0473718412395767,0
"8","nonadherence","caucasian",-0.0440368899608672,0.0251539582880721,0.0493008523132441,-0.0933377422741113,0.0052639623523769,0
"9","nonadherence","hispanic",-0.0402548799134867,0.0246226468765888,0.0482595010821617,-0.0885143809956484,0.00800462116867499,0
"10","noncompliance","african_american",0.0402403613217848,0.0196888130464009,0.0385893644692881,0.0016509968524967,0.0788297257910729,1
"11","noncompliance","caucasian",-0.0279958136045093,0.0165867800234492,0.0325094914654489,-0.0605053050699582,0.00451367786093955,0
"12","noncompliance","hispanic",0.0109184518732056,0.0321906346771301,0.0630924846066611,-0.0521740327334555,0.0740109364798667,0
"13","noncompli_nonadher","african_american",0.0252744498977771,0.017802069972717,0.0348914159967873,-0.00961696609901016,0.0601658658945644,0
"14","noncompli_nonadher","caucasian",-0.0325959860615499,0.0139203726615748,0.0272834290680626,-0.0598794151296125,-0.00531255699348732,1
"15","noncompli_nonadher","hispanic",-0.0042460936603163,0.025941292752256,0.0508439995068317,-0.055090093167148,0.0465979058465154,0
"16","describe_patient","african_american",0.030604824518314,0.0118815284504309,0.0232873678441326,0.00731745667418144,0.0538921923624466,1
"17","describe_patient","caucasian",-0.0167867596641025,0.00943023282891918,0.0184829167105089,-0.0352696763746114,0.00169615704640636,0
"18","describe_patient","hispanic",0.0150898222421499,0.0217143284738915,0.0425593017572999,-0.02746947951515,0.0576491239994498,0
