"","target_word","n","african_american","caucasian","hispanic"
"1","aggression",1000,0,0,0
"2","aggressive",1000,0,0,0
"3","aggressively",1000,0,0,0
"4","aggressiveness",1000,0,0,0
"5","agitate",1000,0,0,0
"6","agitated",1000,0,0,0
"7","agitation",1000,0,0,0
"8","anger",1000,0,0,0
"9","angrily",1000,0,0,0
"10","angry",1000,0,0,0
"11","challenged",1000,0,0,0
"12","challenges",1000,0,0,0
"13","challenging",1000,0,0,0
"14","combative",1000,0,0,0
"15","combativeness",1000,0,0,0
"16","confront",1000,16,16,16
"17","confrontation",1000,0,0,0
"18","confrontational",1000,0,0,0
"19","confronted",1000,12,12,12
"20","confronting",1000,22,22,22
"21","defensive",1000,0,0,0
"22","defensiveness",1000,58,58,58
"23","non_adherence",1000,0,0,0
"24","non_adherent",1000,0,0,0
"25","non_compliance",1000,0,0,0
"26","non_compliant",1000,0,0,0
"27","nonadherence",1000,0,0,0
"28","nonadherent",1000,0,0,0
"29","noncompliance",1000,0,0,0
"30","noncompliant",1000,0,0,0
"31","noncooperative",1000,0,0,0
"32","resist",1000,0,0,0
"33","resistance",1000,0,0,0
"34","resistances",1000,8,8,8
"35","resistant",1000,0,0,0
"36","resisted",1000,0,0,0
"37","resisting",1000,0,0,0
"38","resists",1000,0,0,0
"39","unpleasant",1000,0,0,0
