"","target_word","comparison","mean_difference","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"1","111319","ac",NA,0,0,NA,NA,NA,NA
"2","111319","ah",NA,0,0,NA,NA,NA,NA
"3","111319","ch",NA,0,0,NA,NA,NA,NA
"4","111417","ac",NA,0,0,NA,NA,NA,NA
"5","111417","ah",NA,0,0,NA,NA,NA,NA
"6","111417","ch",NA,0,0,NA,NA,NA,NA
"7","1121219","ac",NA,0,0,NA,NA,NA,NA
"8","1121219","ah",NA,0,0,NA,NA,NA,NA
"9","1121219","ch",NA,0,0,NA,NA,NA,NA
"10","112222","ac",NA,0,0,NA,NA,NA,NA
"11","112222","ah",NA,0,0,NA,NA,NA,NA
"12","112222","ch",NA,0,0,NA,NA,NA,NA
"13","1124","ac",0.0709511305438355,0.0322364985699335,0.0686007271485581,0.00235040339527741,0.139551857692394,1,0.02773910463714
"14","1124","ah",0.0345282515743747,0.0396483179199589,0.0843734139930196,-0.0498451624186448,0.118901665567394,0,0.383828982239666
"15","1124","ch",-0.0364228789694607,0.033835359563547,0.0720031756661415,-0.108426054635602,0.0355802966966808,0,0.281715400518806
"16","112915","ac",NA,0,0,NA,NA,NA,NA
"17","112915","ah",NA,0,0,NA,NA,NA,NA
"18","112915","ch",NA,0,0,NA,NA,NA,NA
"19","112918","ac",NA,0,0,NA,NA,NA,NA
"20","112918","ah",NA,0,0,NA,NA,NA,NA
"21","112918","ch",NA,0,0,NA,NA,NA,NA
"22","1129215","ac",NA,0,0,NA,NA,NA,NA
"23","1129215","ah",NA,0,0,NA,NA,NA,NA
"24","1129215","ch",NA,0,0,NA,NA,NA,NA
"25","1129219","ac",NA,0,0,NA,NA,NA,NA
"26","1129219","ah",NA,0,0,NA,NA,NA,NA
"27","1129219","ch",NA,0,0,NA,NA,NA,NA
"28","1133","ac",0.0191895336378366,0.0218705803139185,0.0465415842058943,-0.0273520505680577,0.0657311178437308,0,0.380262301184504
"29","1133","ah",-0.012113244459033,0.033634360703831,0.0715754410006463,-0.0836886854596793,0.0594621965416132,0,0.718738755158193
"30","1133","ch",-0.0313027780968696,0.0349505976977407,0.0743764528625937,-0.105679230959463,0.0430736747657241,0,0.370450800767242
"31","1154","ac",-0.0187438573106192,0.032867454295724,0.0699434294738083,-0.0886872867844275,0.0511995721631891,0,0.568483564165043
"32","1154","ah",-0.0310153970494866,0.0337605954791988,0.0718440743127562,-0.102859471362243,0.0408286772632695,0,0.358259669887947
"33","1154","ch",-0.0122715397388674,0.0324750548823145,0.0691083857722052,-0.0813799255110726,0.0568368460333377,0,0.705522805882556
"34","11716","ac",-0.00477102923687198,0.0329412154902739,0.0701003966323379,-0.0748714258692098,0.0653293673954659,0,0.884841428210941
"35","11716","ah",-0.0733948961926217,0.034128425579774,0.072626833405275,-0.146021729597897,-0.000768062787346632,1,0.0315117109999563
"36","11716","ch",-0.0686238669557497,0.04365496365056,0.0928997373450928,-0.161523604300843,0.0242758703893431,0,0.115959773418954
"37","11816","ac",0.078282237960957,0.0328427125800354,0.0698907779836515,0.0083914599773055,0.148173015944608,1,0.0171465686407146
"38","11816","ah",-0.025381648959592,0.0450873815547535,0.0959479874394731,-0.121329636399065,0.0705663384798811,0,0.573473349083662
"39","11816","ch",-0.103663886920549,0.0335509951568072,0.071398035345607,-0.175061922266156,-0.032265851574942,1,0.00200331073660487
"40","118213","ac",NA,0,0,NA,NA,NA,NA
"41","118213","ah",NA,0,0,NA,NA,NA,NA
"42","118213","ch",NA,0,0,NA,NA,NA,NA
"43","1211216","ac",NA,0.00349274291458102,0.00743271491360751,NA,NA,NA,NA
"44","1211216","ah",NA,0.00238542085254722,0.00507628347678859,NA,NA,NA,NA
"45","1211216","ch",NA,0.00278276671137399,0.00592185343798803,NA,NA,NA,NA
"46","1213218","ac",NA,0,0,NA,NA,NA,NA
"47","1213218","ah",NA,0,0,NA,NA,NA,NA
"48","1213218","ch",NA,0,0,NA,NA,NA,NA
"49","1226216","ac",NA,0,0,NA,NA,NA,NA
"50","1226216","ah",NA,0,0,NA,NA,NA,NA
"51","1226216","ch",NA,0,0,NA,NA,NA,NA
"52","122715","ac",NA,0,0,NA,NA,NA,NA
"53","122715","ah",NA,0,0,NA,NA,NA,NA
"54","122715","ch",NA,0,0,NA,NA,NA,NA
"55","1228211","ac",NA,0,0,NA,NA,NA,NA
"56","1228211","ah",NA,0,0,NA,NA,NA,NA
"57","1228211","ch",NA,0,0,NA,NA,NA,NA
"58","126219","ac",NA,0,0,NA,NA,NA,NA
"59","126219","ah",NA,0,0,NA,NA,NA,NA
"60","126219","ch",NA,0,0,NA,NA,NA,NA
"61","13","ac",0.0877376826872933,0.0295530054085185,0.0628901323154409,0.0248475503718524,0.150627815002734,1,0.0029894140341602
"62","13","ah",0.0601882598246448,0.0377667375853343,0.0803693259291856,-0.0201810661045408,0.14055758575383,0,0.111006744186702
"63","13","ch",-0.0275494228626485,0.0291324340366653,0.061995137411934,-0.0895445602745825,0.0344457145492855,0,0.34432123740879
"64","1373","ac",0.0820261241111439,0.0323021310168285,0.0687403959643808,0.0132857281467631,0.150766520075525,1,0.0111061530249996
"65","1373","ah",0.0764197214972228,0.0402328928271313,0.0856174158382521,-0.00919769434102927,0.162037137335475,0,0.0575074466654832
"66","1373","ch",-0.00560640261392109,0.0325834238506318,0.0693389998387663,-0.0749454024526874,0.0637325972248452,0,0.863387977548744
"67","138","ac",0.0943426986690611,0.0327237124278932,0.069637540277018,0.0247051583920431,0.163980238946079,1,0.00393898432494511
"68","138","ah",0.0668991418206133,0.04285750606869,0.0912027115385298,-0.0243035697179165,0.158101853359143,0,0.118531597053827
"69","138","ch",-0.0274435568484478,0.0355232630565561,0.0755951106502037,-0.103038667498651,0.0481515538017559,0,0.43978774561148
"70","1411","ac",0.0534188563935459,0.0313032731428774,0.0666147812260912,-0.0131959248325453,0.120033637619637,0,0.0879160914031361
"71","1411","ah",0.0175845396704972,0.0315371995747,0.067112587254481,-0.0495280475839839,0.0846971269249782,0,0.577130611768777
"72","1411","ch",-0.0358343167230487,0.0303371114462951,0.0645587454322271,-0.100393062155276,0.0287244287091784,0,0.237521701354016
"73","1453","ac",0.0682571943209041,0.0306117860150179,0.0651432653391495,0.0031139289817546,0.133400459660054,1,0.0257628196748492
"74","1453","ah",0.0499515268777031,0.0466043939999575,0.0991762585436888,-0.0492247316659857,0.149127785421392,0,0.283800837058392
