"","target_word","base_word","mean","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"1","111319","african_american",NA,0,0,NA,NA,NA,NA
"2","111319","caucasian",NA,0,0,NA,NA,NA,NA
"3","111319","hispanic",NA,0,0,NA,NA,NA,NA
"4","111417","african_american",NA,0,0,NA,NA,NA,NA
"5","111417","caucasian",NA,0,0,NA,NA,NA,NA
"6","111417","hispanic",NA,0,0,NA,NA,NA,NA
"7","1121219","african_american",NA,0,0,NA,NA,NA,NA
"8","1121219","caucasian",NA,0,0,NA,NA,NA,NA
"9","1121219","hispanic",NA,0,0,NA,NA,NA,NA
"10","112222","african_american",NA,0,0,NA,NA,NA,NA
"11","112222","caucasian",NA,0,0,NA,NA,NA,NA
"12","112222","hispanic",NA,0,0,NA,NA,NA,NA
"13","1124","african_american",0.0435192075558007,0.0327359034448653,0.0641611917533167,-0.0206419841975161,0.107680399309117,0,0.183715055585727
"14","1124","caucasian",-0.0274319229880348,0.0286970001304542,0.0562450867200314,-0.0836770097080662,0.0288131637319967,0,0.339114649905619
"15","1124","hispanic",0.00899095598142594,0.0354392802298672,0.0694597128885621,-0.0604687569071361,0.078450668869988,0,0.79972710324679
"16","112915","african_american",NA,0,0,NA,NA,NA,NA
"17","112915","caucasian",NA,0,0,NA,NA,NA,NA
"18","112915","hispanic",NA,0,0,NA,NA,NA,NA
"19","112918","african_american",NA,0,0,NA,NA,NA,NA
"20","112918","caucasian",NA,0,0,NA,NA,NA,NA
"21","112918","hispanic",NA,0,0,NA,NA,NA,NA
"22","1129215","african_american",NA,0,0,NA,NA,NA,NA
"23","1129215","caucasian",NA,0,0,NA,NA,NA,NA
"24","1129215","hispanic",NA,0,0,NA,NA,NA,NA
"25","1129219","african_american",NA,0,0,NA,NA,NA,NA
"26","1129219","caucasian",NA,0,0,NA,NA,NA,NA
"27","1129219","hispanic",NA,0,0,NA,NA,NA,NA
"28","1133","african_american",0.0634419017471373,0.0262857682874156,0.0515191591492996,0.0119227425978377,0.114961060896437,1,0.0157981486720542
"29","1133","caucasian",0.0442523681093007,0.0277058571532799,0.05430248218124,-0.0100501140719393,0.0985548502905408,0,0.110216523679329
"30","1133","hispanic",0.0755551462061703,0.0270482624623174,0.0530136202705287,0.0225415259356416,0.128568766476699,1,0.00521659181376899
"31","1154","african_american",-0.0293820662773214,0.0268122161913976,0.0525509780808409,-0.0819330443581624,0.0231689118035195,0,0.273146069290372
"32","1154","caucasian",-0.0106382089667022,0.0297127120141935,0.0582358454308299,-0.0688740543975321,0.0475976364641277,0,0.72031666477991
"33","1154","hispanic",0.00163333077216521,0.0316866490448758,0.062104690918717,-0.0604713601465518,0.0637380216908822,0,0.958890177252123
"34","11716","african_american",-0.0590027193866263,0.0215901392713253,0.0423158953930014,-0.101318614779628,-0.0166868239936248,1,0.00627879731914049
"35","11716","caucasian",-0.0542316901497543,0.0280640445060814,0.0550045164924487,-0.109236206642203,0.000772826342694433,0,0.0533069436305647
"36","11716","hispanic",0.0143921768059954,0.0349756958390013,0.0685511041786699,-0.0541589273726745,0.0829432809846653,0,0.680712691247395
"37","11816","african_american",0.0191285129170865,0.0335190309629177,0.0656960934840016,-0.0465675805669151,0.0848246064010881,0,0.568219160859657
"38","11816","caucasian",-0.0591537250438705,0.0233994881893961,0.0458621541078866,-0.105015879151757,-0.0132915709359839,1,0.0114716880760373
"39","11816","hispanic",0.0445101618766785,0.0324254303506348,0.0635526756704561,-0.0190425137937776,0.108062837547135,0,0.169847800380465
"40","118213","african_american",NA,0,0,NA,NA,NA,NA
"41","118213","caucasian",NA,0,0,NA,NA,NA,NA
"42","118213","hispanic",NA,0,0,NA,NA,NA,NA
"43","1211216","african_american",NA,0.00549812576748362,0.0107761284867395,NA,NA,NA,NA
"44","1211216","caucasian",NA,0.00287512012040329,0.00563513188721691,NA,NA,NA,NA
"45","1211216","hispanic",NA,0.00558771844584382,0.010951726909604,NA,NA,NA,NA
"46","1213218","african_american",NA,0,0,NA,NA,NA,NA
"47","1213218","caucasian",NA,0,0,NA,NA,NA,NA
"48","1213218","hispanic",NA,0,0,NA,NA,NA,NA
"49","1226216","african_american",NA,0,0,NA,NA,NA,NA
"50","1226216","caucasian",NA,0,0,NA,NA,NA,NA
"51","1226216","hispanic",NA,0,0,NA,NA,NA,NA
"52","122715","african_american",NA,0,0,NA,NA,NA,NA
"53","122715","caucasian",NA,0,0,NA,NA,NA,NA
"54","122715","hispanic",NA,0,0,NA,NA,NA,NA
"55","1228211","african_american",NA,0,0,NA,NA,NA,NA
"56","1228211","caucasian",NA,0,0,NA,NA,NA,NA
"57","1228211","hispanic",NA,0,0,NA,NA,NA,NA
"58","126219","african_american",NA,0,0,NA,NA,NA,NA
"59","126219","caucasian",NA,0,0,NA,NA,NA,NA
"60","126219","hispanic",NA,0,0,NA,NA,NA,NA
