"","target_word","n","african_american","caucasian","hispanic"
"1","111319",1000,100,100,100
"2","111417",1000,100,100,100
"3","1121219",1000,100,100,100
"4","112222",1000,100,100,100
"5","1124",1000,0,0,0
"6","112915",1000,100,100,100
"7","112918",1000,100,100,100
"8","1129215",1000,100,100,100
"9","1129219",1000,100,100,100
"10","1133",1000,0,0,0
"11","1154",1000,0,0,0
"12","11716",1000,12,12,12
"13","11816",1000,0,0,0
"14","118213",1000,100,100,100
"15","1211216",1000,96,96,96
"16","1213218",1000,100,100,100
"17","1226216",1000,100,100,100
"18","122715",1000,100,100,100
"19","1228211",1000,100,100,100
"20","126219",1000,100,100,100
"21","13",1000,0,0,0
"22","1373",1000,0,0,0
"23","138",1000,0,0,0
"24","1411",1000,0,0,0
"25","1453",1000,0,0,0
"26","15214",1000,36,36,36
"27","1545",1000,0,0,0
"28","1613",1000,0,0,0
"29","1646",1000,0,0,0
"30","1659",1000,0,0,0
"31","1845",1000,0,0,0
"32","21414",1000,46,46,46
"33","2153",1000,0,0,0
"34","21814",1000,98,98,98
"35","254",1000,0,0,0
"36","26217",1000,100,100,100
"37","3121",1000,0,0,0
"38","315214",1000,100,100,100
"39","318218",1000,100,100,100
"40","321216",1000,100,100,100
"41","32318",1000,100,100,100
"42","323212",1000,100,100,100
"43","3515",1000,0,0,0
"44","4117",1000,0,0,0
"45","413212",1000,100,100,100
"46","41717",1000,100,100,100
"47","41719",1000,100,100,100
"48","41914",1000,100,100,100
"49","423",1000,0,0,0
"50","46213",1000,100,100,100
"51","48218",1000,100,100,100
"52","5",1000,0,0,0
"53","514215",1000,100,100,100
"54","51422",1000,100,100,100
"55","522219",1000,100,100,100
"56","52412",1000,100,100,100
"57","526216",1000,100,100,100
"58","526218",1000,100,100,100
"59","528213",1000,100,100,100
"60","5315",1000,12,12,12
"61","54215",1000,90,90,90
"62","5712",1000,0,0,0
"63","58215",1000,100,100,100
"64","592",1000,0,0,0
"65","615219",1000,100,100,100
"66","6213",1000,2,2,2
"67","62416",1000,100,100,100
"68","62519",1000,100,100,100
"69","626213",1000,100,100,100
"70","627217",1000,100,100,100
"71","636",1000,0,0,0
"72","648",1000,0,0,0
"73","6514",1000,0,0,0
"74","71417",1000,100,100,100
"75","71613",1000,100,100,100
"76","726214",1000,100,100,100
"77","72913",1000,100,100,100
"78","72919",1000,100,100,100
"79","73212",1000,100,100,100
"80","73214",1000,100,100,100
"81","754",1000,0,0,0
"82","759",1000,0,0,0
"83","813216",1000,100,100,100
"84","815214",1000,100,100,100
"85","81522",1000,100,100,100
"86","82319",1000,98,98,98
"87","823213",1000,100,100,100
"88","82419",1000,100,100,100
"89","8292",1000,0,0,0
"90","848",1000,0,0,0
"91","885",1000,0,0,0
"92","916213",1000,100,100,100
"93","916219",1000,100,100,100
"94","919216",1000,100,100,100
"95","92714",1000,100,100,100
"96","937",1000,0,0,0
"97","9414",1000,0,0,0
"98","9418",1000,0,0,0
"99","9715",1000,0,0,0
"100","99",1000,0,0,0
"101","apr",1000,100,100,100
"102","april",1000,100,100,100
"103","aug",1000,100,100,100
"104","august",1000,100,100,100
"105","dec",1000,58,58,58
"106","december",1000,100,100,100
"107","feb",1000,100,100,100
"108","february",1000,100,100,100
"109","fri",1000,0,0,0
"110","friday",1000,0,0,0
"111","jan",1000,100,100,100
"112","january",1000,100,100,100
"113","jul",1000,100,100,100
"114","july",1000,100,100,100
"115","jun",1000,100,100,100
"116","june",1000,100,100,100
"117","mar",1000,42,42,42
"118","march",1000,100,100,100
"119","may",1000,0,0,0
"120","mon",1000,0,0,0
"121","monday",1000,0,0,0
"122","nov",1000,100,100,100
"123","november",1000,100,100,100
"124","oct",1000,92,92,92
"125","october",1000,100,100,100
"126","sat",1000,0,0,0
"127","saturday",1000,0,0,0
"128","sep",1000,100,100,100
"129","september",1000,100,100,100
"130","sun",1000,0,0,0
"131","sunday",1000,0,0,0
"132","thu",1000,100,100,100
"133","thur",1000,100,100,100
"134","thurs",1000,0,0,0
"135","thursday",1000,0,0,0
"136","tue",1000,0,0,0
"137","tues",1000,0,0,0
"138","tuesday",1000,0,0,0
"139","wed",1000,0,0,0
"140","wednesday",1000,0,0,0
