"","target_word","n","african_american","caucasian","hispanic"
"1","111319",1000,100,100,100
"2","111417",1000,100,100,100
"3","1121219",1000,100,100,100
"4","112222",1000,100,100,100
"5","112915",1000,100,100,100
"6","112918",1000,100,100,100
"7","1129215",1000,100,100,100
"8","1129219",1000,100,100,100
"9","11716",1000,12,12,12
"10","118213",1000,100,100,100
"11","1211216",1000,96,96,96
"12","1213218",1000,100,100,100
"13","1226216",1000,100,100,100
"14","122715",1000,100,100,100
"15","1228211",1000,100,100,100
"16","126219",1000,100,100,100
"17","15214",1000,36,36,36
"18","21414",1000,46,46,46
"19","21814",1000,98,98,98
"20","26217",1000,100,100,100
"21","315214",1000,100,100,100
"22","318218",1000,100,100,100
"23","321216",1000,100,100,100
"24","32318",1000,100,100,100
"25","323212",1000,100,100,100
"26","413212",1000,100,100,100
"27","41717",1000,100,100,100
"28","41719",1000,100,100,100
"29","41914",1000,100,100,100
"30","46213",1000,100,100,100
"31","48218",1000,100,100,100
"32","514215",1000,100,100,100
"33","51422",1000,100,100,100
"34","522219",1000,100,100,100
"35","52412",1000,100,100,100
"36","526216",1000,100,100,100
"37","526218",1000,100,100,100
"38","528213",1000,100,100,100
"39","5315",1000,12,12,12
"40","54215",1000,90,90,90
"41","58215",1000,100,100,100
"42","615219",1000,100,100,100
"43","6213",1000,2,2,2
"44","62416",1000,100,100,100
"45","62519",1000,100,100,100
"46","626213",1000,100,100,100
"47","627217",1000,100,100,100
"48","71417",1000,100,100,100
"49","71613",1000,100,100,100
"50","726214",1000,100,100,100
"51","72913",1000,100,100,100
"52","72919",1000,100,100,100
"53","73212",1000,100,100,100
"54","73214",1000,100,100,100
"55","813216",1000,100,100,100
"56","815214",1000,100,100,100
"57","81522",1000,100,100,100
"58","82319",1000,98,98,98
"59","823213",1000,100,100,100
"60","82419",1000,100,100,100
"61","916213",1000,100,100,100
"62","916219",1000,100,100,100
"63","919216",1000,100,100,100
"64","92714",1000,100,100,100
"65","apr",1000,100,100,100
"66","april",1000,100,100,100
"67","aug",1000,100,100,100
"68","august",1000,100,100,100
"69","dec",1000,58,58,58
"70","december",1000,100,100,100
"71","feb",1000,100,100,100
"72","february",1000,100,100,100
"73","jan",1000,100,100,100
"74","january",1000,100,100,100
"75","jul",1000,100,100,100
"76","july",1000,100,100,100
"77","jun",1000,100,100,100
"78","june",1000,100,100,100
"79","mar",1000,42,42,42
"80","march",1000,100,100,100
"81","nov",1000,100,100,100
"82","november",1000,100,100,100
"83","oct",1000,92,92,92
"84","october",1000,100,100,100
"85","sep",1000,100,100,100
"86","september",1000,100,100,100
"87","thu",1000,100,100,100
"88","thur",1000,100,100,100
