"","target_word","lb","comparison","ub","significance","midpt","avg"
"1","aggression",-0.014,"A-C",0.152,0,0.069,0.0790978385601193
"2","aggressive",-0.111,"A-C",-0.008,1,-0.0595,-0.0531968319788575
"3","aggressively",-0.085,"A-C",0.054,0,-0.0155,0.00802114163525403
"4","aggressiveness",-0.057,"A-C",0.119,0,0.031,0.0675658165477216
"5","agitate",-0.05,"A-C",0.137,0,0.0435,0.0225477900356054
"6","agitated",0.012,"A-C",0.168,1,0.09,0.0835450308397412
"7","agitation",-0.015,"A-C",0.126,0,0.0555,0.0775588810443878
"8","anger",0.028,"A-C",0.187,1,0.1075,0.116269291302888
"9","angrily",-0.044,"A-C",0.149,0,0.0525,0.077961958386004
"10","angry",0.005,"A-C",0.153,1,0.079,0.124896423734026
"11","challenged",-0.104,"A-C",0.087,0,-0.0085,0.0198521915823221
"12","challenges",-0.021,"A-C",0.152,0,0.0655,0.0460344190127216
"13","challenging",-0.119,"A-C",0.02,0,-0.0495,-0.0497853152803145
"14","combative",-0.031,"A-C",0.128,0,0.0485,0.0948933783918619
"15","combativeness",-0.078,"A-C",0.123,0,0.0225,0.100063223112375
"16","confront",-0.091,"A-C",0.104,0,0.0065,0.0650835042120889
"17","confrontation",-0.082,"A-C",0.054,0,-0.014,-0.00373105480102822
"18","confrontational",-0.044,"A-C",0.166,0,0.061,0.00115496888756752
"19","confronted",-0.045,"A-C",0.136,0,0.0455,0.0637958602164872
"20","confronting",-0.086,"A-C",0.076,0,-0.005,-0.0230377800296992
"21","defensive",-0.041,"A-C",0.114,0,0.0365,0.0307811132399365
"22","defensiveness",-0.033,"A-C",0.129,0,0.048,0.0495331501297187
"23","non_adherence",-0.072,"A-C",0.064,0,-0.004,-0.0840739850071259
"24","non_adherent",-0.095,"A-C",0.065,0,-0.015,-0.0219363207521383
"25","non_compliance",-0.126,"A-C",0.026,0,-0.05,-0.045583733310923
"26","non_compliant",-0.082,"A-C",0.075,0,-0.0035,0.0173827510792762
"27","nonadherence",-0.05,"A-C",0.116,0,0.033,-0.00321312360465527
"28","nonadherent",-0.138,"A-C",0.057,0,-0.0405,-0.0195042441220721
"29","noncompliance",-0.089,"A-C",0.103,0,0.007,0.0196850119624287
