CATEGORY,INCLUDE (1=yes; 0=no),DESCRIPTION,ROW_ID,,
Nursing/other,1,Report,822497,,
ECG,,Report,209051,,
Nursing,1,Nursing Progress Note,191832,,
Radiology,,CHEST (PORTABLE AP),169270,,
Physician ,1,Physician Resident Progress Note,62682,,
Discharge summary,1,Report,55177,,
Echo,,Report,45794,,
Radiology,,CHEST (PA & LAT),43158,,
Radiology,,CT HEAD W/O CONTRAST,34485,,
Respiratory ,1,Respiratory Care Shift Note,31101,,
Nursing,1,Nursing Transfer Note,30772,,
Physician ,1,Intensivist Note,26123,,
Radiology,,CHEST PORT. LINE PLACEMENT,21596,,
Physician ,1,Physician Attending Progress Note,21023,,
Physician ,1,Physician Resident Admission Note,10652,,
Nutrition,1,Clinical Nutrition Note,9395,,
Radiology,,PORTABLE ABDOMEN,8143,,
Radiology,,CHEST (PRE-OP PA & LAT),8064,,
Radiology,,CT CHEST W/CONTRAST,8001,,
Radiology,,CT ABDOMEN W/CONTRAST,7304,,
Radiology,,MR HEAD W & W/O CONTRAST,7062,,
Radiology,,CT CHEST W/O CONTRAST,6745,,
Radiology,,CT C-SPINE W/O CONTRAST,4840,,
Radiology,,CT ABDOMEN W/O CONTRAST,4823,,
General,1,Generic Note,4792,,
Radiology,,LIVER OR GALLBLADDER US (SINGLE ORGAN),4761,,
Physician ,1,ICU Note - CVI,4502,,
Radiology,,"CTA CHEST W&W/O C&RECONS, NON-CORONARY",4499,,
Discharge summary,1,Addendum,4475,,
Radiology,,ABDOMEN (SUPINE & ERECT),4462,,
Radiology,,BABYGRAM (CHEST ONLY),4412,,
Radiology,,MR HEAD W/O CONTRAST,3603,,
Radiology,,BILAT LOWER EXT VEINS,3443,,
Radiology,,CAROTID SERIES COMPLETE,3377,,
Physician ,1,Physician Attending Admission Note - MICU,3318,,
Radiology,,RENAL U.S.,2960,,
Radiology,,CHEST (SINGLE VIEW),2929,,
Radiology,,NEONATAL HEAD PORTABLE,2914,,
Radiology,,BY DIFFERENT PHYSICIAN,2855,,
Radiology,,CT ABD W&W/O C,2749,,
Radiology,,PICC W/O PORT,2693,,
Radiology,,BY SAME PHYSICIAN,2681,,
Radiology,,CTA HEAD W&W/O C & RECONS,2622,,
General,1,ICU Event Note,2580,,
Radiology,,ABDOMEN U.S. (COMPLETE STUDY),2346,,
Radiology,,VIDEO OROPHARYNGEAL SWALLOW,2293,,
Radiology,,CTA CHEST W&W/O C &RECONS,2204,,
Rehab Services,1,Physical Therapy Evaluation Note,2113,,
Radiology,,"US ABD LIMIT, SINGLE ORGAN",1951,,
Radiology,,P BABYGRAM (CHEST ONLY) PORT,1948,,
Radiology,,CT PELVIS W/CONTRAST,1801,,
Radiology,,P LIVER OR GALLBLADDER US (SINGLE ORGAN) PORT,1678,,
Radiology,,CTA ABD W&W/O C & RECONS,1562,,
Social Work,1,Social Work Progress Note,1542,,
Radiology,,CT ABD & PELVIS WITH CONTRAST,1537,,
Physician ,1,Physician Resident/Attending Progress Note - MICU,1520,,
Radiology,,NASO-INTESTINAL TUBE PLACEMENT (W/FLUORO),1504,,
Radiology,,DUPLEX DOPP ABD/PEL,1500,,
Radiology,,CT SINUS/MANDIBLE/MAXILLOFACIAL W/O CONTRAST,1477,,
Radiology,,PARACENTESIS DIAG. OR THERAPEUTIC,1430,,
Radiology,,P BILAT LOWER EXT VEINS PORT,1406,,
Radiology,,T-SPINE,1322,,
Radiology,,P BABYGRAM CHEST & ABD (TOGETHER ONE FILM) PORT,1307,,
Rehab Services,1,Physical Therapy Progress Note,1290,,
Radiology,,DISTINCT PROCEDURAL SERVICE,1288,,
Radiology,,TRAUMA #2 (AP CXR & PELVIS PORT),1266,,
Radiology,,VEN DUP EXTEXT BIL (MAP/DVT),1246,,
Radiology,,L-SPINE (AP & LAT),1205,,
Radiology,,FDG TUMOR IMAGING (PET-CT),1188,,
Radiology,,CT PELVIS W/O CONTRAST,1185,,
Radiology,,L UNILAT LOWER EXT VEINS LEFT,1179,,
Radiology,,R UNILAT LOWER EXT VEINS RIGHT,1165,,
Physician ,1,Physician Surgical Admission Note,1109,,
Social Work,1,Social Work Admission Note,1106,,
Radiology,,L UNILAT UP EXT VEINS US LEFT,1100,,
Radiology,,CT HEAD W/ & W/O CONTRAST,1082,,
Radiology,,R UNILAT UP EXT VEINS US RIGHT,1077,,
Radiology,,ABDOMEN (SUPINE ONLY),1053,,
Radiology,,MR CERVICAL SPINE W/O CONTRAST,1036,,
Radiology,,P RENAL U.S. PORT,1036,,
Physician ,1,Physician Fellow / Attending Progress Note - MICU,972,,
Radiology,,PELVIS (AP ONLY),918,,
Physician ,1,Physician Attending Admission Note,876,,
Radiology,,CT ABD & PELVIS W/O CONTRAST,866,,
Radiology,,C-SPINE NON-TRAUMA 2-3 VIEWS,864,,
Radiology,,P ABDOMEN (SUPINE ONLY) PORT,858,,
Radiology,,L HIP UNILAT MIN 2 VIEWS LEFT,857,,
Radiology,,ERCP BILIARY&PANCREAS BY GI UNIT,856,,
Radiology,,"R FOOT AP,LAT & OBL RIGHT",839,,
Radiology,,TUNNELED W/O PORT,835,,
Radiology,,MRI ABDOMEN W/O & W/CONTRAST,832,,
Radiology,,MR C-SPINE W& W/O CONTRAST,812,,
Radiology,,SEL CATH 3RD ORDER THOR,805,,
Radiology,,R HIP UNILAT MIN 2 VIEWS RIGHT,777,,
Radiology,,CT NECK W/CONTRAST (EG:PAROTIDS),776,,
Radiology,,MR L-SPINE W & W/O CONTRAST,767,,
Radiology,,"L FOOT AP,LAT & OBL LEFT",761,,
Radiology,,BONE SCAN,755,,
Radiology,,PERSANTINE MIBI,752,,
Radiology,,EXERCISE MIBI,738,,
Radiology,,CVL/PICC,737,,
Physician ,1,Physician Surgical Progress Note,733,,
Radiology,,TRAUMA #3 (PORT CHEST ONLY),711,,
Radiology,,NON-TUNNELED,703,,
Radiology,,CT L-SPINE W/O CONTRAST,681,,
Radiology,,CT T-SPINE W/O CONTRAST,680,,
Radiology,,MR CERVICAL SPINE,669,,
Radiology,,P BABYGRAM AP ABD ONLY PORT,665,,
Radiology,,ART EXT (REST ONLY),664,,
Radiology,,MR HEAD W/ CONTRAST,659,,
Radiology,,P ABDOMEN (SUPINE & ERECT) PORT,646,,
Radiology,,L FEMUR (AP & LAT) LEFT,628,,
Nursing,1,Generic Note,616,,
Respiratory ,1,Generic Note,595,,
Radiology,,RENAL TRANSPLANT U.S.,591,,
Radiology,,"L SHOULDER (AP, NEUTRAL & AXILLARY) TRAUMA LEFT",574,,
Physician ,1,Cardiology Physician Note,573,,
Radiology,,ESOPHAGUS,571,,
Radiology,,L WRIST(3 + VIEWS) LEFT,553,,
Radiology,,R FEMUR (AP & LAT) RIGHT,544,,
Radiology,,UNILAT UP EXT VEINS US,539,,
Radiology,,EXCH PERPHERAL W/O PORT,532,,
Radiology,,FLUORO GUID PLCT/REPLCT/REMOVE CENTRAL LINE,531,,
Radiology,,"R SHOULDER (AP, NEUTRAL & AXILLARY) TRAUMA RIGHT",527,,
Radiology,,BX-NEEDLE LIVER BY RADIOLOGIST,526,,
Radiology,,BABYGRAM CHEST & ABD (TOGETHER ONE FILM),526,,
Radiology,,"L ANKLE (AP, MORTISE & LAT) LEFT",523,,
Radiology,,DIG SCREENING BILAT,522,,
Radiology,,R WRIST(3 + VIEWS) RIGHT,516,,
Radiology,,L TIB/FIB (AP & LAT) LEFT,514,,
Physician ,1,Physician Fellow/Attending Progress Note - MICU,512,,
Radiology,,CTA NECK W&W/OC & RECONS,506,,
Radiology,,"R ANKLE (AP, MORTISE & LAT) RIGHT",505,,
Radiology,,ART DUP EXT LO UNI;F/U,498,,
Radiology,,"R KNEE (AP, LAT & OBLIQUE) RIGHT",492,,
Radiology,,P BABYGRAM (CHEST & ABDOMEN) PORT,489,,
Radiology,,R TIB/FIB (AP & LAT) RIGHT,489,,
Radiology,,MRCP (MR ABD W&W/OC),489,,
Radiology,,LUNG SCAN,485,,
Radiology,,MRA BRAIN W/O CONTRAST,483,,
Radiology,,MR L SPINE W/O CONTRAST,482,,
Radiology,,CT 100CC NON IONIC CONTRAST,454,,
Radiology,,ERCP S&I (74330),447,,
Radiology,,MR T-SPINE W &W/O CONTRAST,439,,
Radiology,,EMBO TRANSCRANIAL,439,,
Physician ,1,Physician Resident/Attending Admission Note - MICU,439,,
Radiology,,"L KNEE (AP, LAT & OBLIQUE) LEFT",436,,
Radiology,,P ABDOMEN U.S. (COMPLETE STUDY) PORT,434,,
Radiology,,"PELVIS, NON-OBSTETRIC",427,,
Radiology,,P CAROTID SERIES COMPLETE PORT,422,,
Radiology,,EMBO NON NEURO,411,,
Radiology,,GI BLEEDING STUDY,398,,
Radiology,,R FEMORAL VASCULAR US RIGHT,395,,
Radiology,,"L HAND (AP, LAT & OBLIQUE) LEFT",392,,
Radiology,,CT 150CC NONIONIC CONTRAST,374,,
Radiology,,"P US ABD LIMIT, SINGLE ORGAN PORT",361,,
Radiology,,SEL CATH 2ND ORDER,360,,
Radiology,,CT RECONSTRUCTION,360,,
Radiology,,INTERUP IVC,359,,
Radiology,,R KNEE (2 VIEWS) RIGHT,352,,
Radiology,,PARACENTESIS DIAG/THERAP W IMAGING GUID,352,,
Radiology,,CHALNAGIOGRAPHY VIA EXISTING CATHETER,346,,
Radiology,,GALLBLADDER SCAN,344,,
Radiology,,O CHEST (SINGLE VIEW) IN O.R.,344,,
Radiology,,LUMBO-SACRAL SPINE (AP & LAT),343,,
Radiology,,DUPLEX DOP ABD/PEL LIMITED,335,,
Radiology,,GUIDANCE/LOCALIZATION FOR NEEDLE BIOPSY US (S&I),333,,
Radiology,,MR THORACIC SPINE W/O CONTRAST,330,,
Radiology,,CARDIAC PERFUSION PERSANTINE,328,,
Physician ,1,Cardiology Comprehensive Physician Note,322,,
Radiology,,"C-SPINE, TRAUMA",320,,
Radiology,,THYROID U.S.,319,,
Radiology,,CHANGE PERC BILIARY DRAINAGE CATHETER,317,,
Radiology,,MR HEAD W/CNTRST&TUMOR VOLUMETRIC,312,,
Radiology,,ABDOMEN U.S. (PORTABLE),312,,
Radiology,,L HUMERUS (AP & LAT) LEFT,311,,
Physician ,1,Generic Note,310,,
Rehab Services,1,Generic Note,308,,
Radiology,,L KNEE (2 VIEWS) LEFT,307,,
Radiology,,P BABYGRAM (ABD ANY SGL VIEW) (74000) PORT,306,,
Radiology,,VENOUS DUP EXT UNI (MAP/DVT),306,,
Rehab Services,,Bedside Swallow Evaluation,304,,
Radiology,,BILAT UP EXT VEINS US,304,,
Radiology,,"BILAT HIPS (AP,LAT & AP PELVIS)",301,,
Radiology,,R HUMERUS (AP & LAT) RIGHT,298,,
Radiology,,"R HAND (AP, LAT & OBLIQUE) RIGHT",297,,
Case Management ,1,Case Managment Initial Patient Assessment,296,,
Radiology,,O L-SPINE (AP & LAT) IN O.R.,284,,
Radiology,,CT PELVIS ORTHO W/O C,280,,
Rehab Services,,Bedside Swallowing Evaluation,278,,
Radiology,,P PELVIS (AP ONLY) PORT,277,,
Physician ,1,ICU Fellow Progress Note - MICU,274,,
Physician ,1,Cardiology Teaching Physician Note,273,,
Radiology,,CT HEAD W/ CONTRAST,270,,
Physician ,1,ICU Note,270,,
Radiology,,MR CONTRAST GADOLIN,268,,
Radiology,,N-G TUBE PLACEMENT (W/ FLUORO),268,,
Radiology,,CHEST (LAT DECUB ONLY),267,,
Radiology,,BABYGRAM AP ABD ONLY,266,,
Radiology,,US GUID FOR VAS. ACCESS,261,,
Radiology,,CHEST FLUORO WITHOUT RADIOLOGIST,261,,
Radiology,,MR L SPINE SCAN,260,,
Radiology,,CARDIAC PERFUSION,259,,
Radiology,,PERC PLCMT GASTROMY TUBE,256,,
Radiology,,RP UNILAT UP EXT VEINS US RIGHT PORT,253,,
Radiology,,R US EXTREMITY NONVASCULAR RIGHT,250,,
Radiology,,SCROTAL U.S.,250,,
Radiology,,FLUOR GUID PLCT/REPLCT/REMOVE,247,,
Radiology,,CHEST (PRE-OP AP ONLY),247,,
Radiology,,GUIDANCE FOR THORA/ABD/PARA CENTESIS US,246,,
Physician ,1,ICU Attending Note,244,,
Radiology,,R SHOULDER 2-3 VIEWS NON TRAUMA RIGHT,241,,
Radiology,,CT NECK W/O CONTRAST (EG: PAROTIDS),239,,
Radiology,,PLEURAL ASP BY RADIOLOGIST,239,,
Radiology,,C-SPINE NON-TRAUMA W/FLEX & EXT 4 VIEWS,238,,
Radiology,,"L ELBOW (AP, LAT & OBLIQUE) LEFT",236,,
Radiology,,L US EXTREMITY NONVASCULAR LEFT,234,,
Radiology,,"R ELBOW (AP, LAT & OBLIQUE) RIGHT",234,,
Radiology,,G/GJ/GI TUBE CHECK,231,,
Radiology,,MR ABDOMEN W&W/O CONTRAST,228,,
Radiology,,BABYGRAM (CHEST & ABDOMEN),228,,
Radiology,,CTA PELVIS W&W/O C & RECONS,225,,
Radiology,,REMOVE TUNNELED CENTRAL W/O PORT,224,,
Physician ,1,ICU Attending,222,,
Radiology,,R CT LOW EXT W/O C RIGHT,220,,
Radiology,,CHG NEPHROTOMY/PYLOSTOMY TUBE,219,,
Radiology,,LP UNILAT UP EXT VEINS US LEFT PORT,219,,
Radiology,,CT UP EXT W/O C,219,,
Radiology,,EA 1ST ORDER ABD/PEL/LOWER EXT A-GRAM,214,,
Radiology,,CHEST CTA WITH CONTRAST,212,,
Radiology,,C-SPINE FLEX AND EXT ONLY 2 VIEWS,211,,
